source,method,k,kendall_tau_context_mean,kendall_tau_pair_weighted,jaccard_context_mean,jaccard_micro,intersection,union
vlsat,linear__identity,5,1.0,1.0,1.0,1.0,2740,2740
vlsat,linear__identity,10,1.0,1.0,1.0,1.0,5480,5480
vlsat,linear__identity,20,1.0,1.0,1.0,1.0,10960,10960
vlsat,linear__identity,50,1.0,1.0,1.0,1.0,27400,27400
vlsat,linear__identity,100,1.0,1.0,1.0,1.0,54800,54800
vlsat,linear__power_0p5,5,0.9528502890664837,0.9525323655711416,0.9934827945776851,0.9920029080334424,2729,2751
vlsat,linear__power_0p5,10,0.9528502890664837,0.9525323655711416,0.9933642999336433,0.9927272727272727,5460,5500
vlsat,linear__power_0p5,20,0.9528502890664837,0.9525323655711416,0.9914189269949347,0.9909173478655767,10910,11010
vlsat,linear__power_0p5,50,0.9528502890664837,0.9525323655711416,0.9810334404297318,0.980627439641463,27132,27668
vlsat,linear__power_0p5,100,0.9528502890664837,0.9525323655711416,0.9740005682903994,0.9737079056365928,54070,55530
vlsat,linear__power_2,5,0.9568488464261975,0.9563625110955372,0.9963503649635036,0.9956300072833212,2734,2746
vlsat,linear__power_2,10,0.9568488464261975,0.9563625110955372,0.9934195974341962,0.9927272727272727,5460,5500
vlsat,linear__power_2,20,0.9568488464261975,0.9563625110955372,0.9924300812907607,0.9920029080334424,10916,11004
vlsat,linear__power_2,50,0.9568488464261975,0.9563625110955372,0.9872010387111209,0.9869470630891951,27220,27580
vlsat,linear__power_2,100,0.9568488464261975,0.9563625110955372,0.9755201261151768,0.9752374430046677,54113,55487
vlsat,linear__power_4,5,0.9262360018401612,0.9252072515021483,0.9914841849148417,0.9898329702251271,2726,2754
vlsat,linear__power_4,10,0.9262360018401612,0.9252072515021483,0.9910971024109713,0.9901942981659706,5453,5507
vlsat,linear__power_4,20,0.9262360018401612,0.9252072515021483,0.9888731811930797,0.9882086167800453,10895,11025
vlsat,linear__power_4,50,0.9262360018401612,0.9252072515021483,0.9787245115671763,0.9781965201068515,27098,27702
vlsat,linear__power_4,100,0.9262360018401612,0.9252072515021483,0.9588053557737232,0.9582618639222413,53632,55968
vlsat,linear__temperature_0p5,5,0.8504831936286315,0.8486141254385814,0.9880083420229409,0.9855072463768116,2720,2760
vlsat,linear__temperature_0p5,10,0.8504831936286315,0.8486141254385814,0.9927560274275602,0.9920029080334424,5458,5502
vlsat,linear__temperature_0p5,20,0.8504831936286315,0.8486141254385814,0.9926038734353557,0.9921839498318641,10917,11003
vlsat,linear__temperature_0p5,50,0.8504831936286315,0.8486141254385814,0.9855114539621576,0.9850757081793813,27194,27606
vlsat,linear__temperature_0p5,100,0.8504831936286315,0.8486141254385814,0.9680080171342952,0.9672601952900631,53888,55712
