source,method,k,recall,recall_scan_ci95_low,recall_scan_ci95_high,violation,violation_scan_ci95_low,violation_scan_ci95_high,selected
vlsat,source_score,50,0.9272406847935549,0.8847037291675166,0.9637493769110849,0.026751824817518248,0.023639152610174012,0.03002090519837489,27400
vlsat,source_score,100,0.9634944612286002,0.9279701585074008,0.9925995850285225,0.04764598540145985,0.04429499631594686,0.05125286453912748,54800
vlsat,relcompat3d_mlp,50,0.9272406847935549,0.8849566041991868,0.9633817702637288,0.01886861313868613,0.016415204009245062,0.021364537046562486,27400
vlsat,relcompat3d_mlp,100,0.9650050352467271,0.930881169885776,0.9922603609897551,0.029635036496350364,0.027057560908639682,0.032330452718802236,54800
vlsat,mlp_wrong_predicate,50,0.9098690835850957,0.868116278927086,0.9466116992028374,0.05029197080291971,0.04529167593107281,0.05518408972631073,27400
vlsat,mlp_wrong_predicate,100,0.9498992950654582,0.9157621356524525,0.9799671494817891,0.08312043795620438,0.07774266645049718,0.08855434962204138,54800
vlsat,mlp_wrong_pair,50,0.9131419939577039,0.8722154041858566,0.9494343584663997,0.026204379562043797,0.023070865632415172,0.029264896699087908,27400
vlsat,mlp_wrong_pair,100,0.9561933534743202,0.9223036525829151,0.9836288385000024,0.04708029197080292,0.04384581712062257,0.05063550100113171,54800
vlsat,mlp_shuffled_geometry,50,0.9025679758308157,0.8608233816193976,0.9388117770938482,0.029963503649635036,0.02667922372915078,0.033282567843096474,27400
vlsat,mlp_shuffled_geometry,100,0.947129909365559,0.9123860241421964,0.9759761236600717,0.054927007299270074,0.05133810999606454,0.05874072372430161,54800
vlsat,mlp_fixed_label_endpoint_swap,50,0.9098690835850957,0.8690388722236644,0.9461166815124734,0.049927007299270076,0.04496237766263673,0.054809956455525215,27400
vlsat,mlp_fixed_label_endpoint_swap,100,0.9509063444108762,0.9177238809719007,0.9800943191465928,0.08133211678832117,0.07591954310868244,0.08689985505575412,54800
vlsat,distance_only,50,0.8189828801611279,0.7855213033557963,0.8508769979584723,0.053394160583941606,0.04859246825614323,0.05828524705221785,27400
vlsat,distance_only,100,0.898036253776435,0.872654852672858,0.9209353157085064,0.08093065693430657,0.07611375402440479,0.08576756172839507,54800
vlsat,mlp_compatibility_only,50,0.7784491440080564,0.7514986546361404,0.8071775134377309,0.016058394160583942,0.013985134271099743,0.018141051641684152,27400
vlsat,mlp_compatibility_only,100,0.9018126888217523,0.88365156824125,0.9211599802679297,0.02051094890510949,0.018851980874316943,0.022208970305622713,54800
open3dsg,source_score,50,0.4043303121852971,0.37264800183251334,0.4384332368747416,0.13872203033488512,0.131520268374617,0.14596908228143265,26636
open3dsg,source_score,100,0.5110775427995972,0.4808416923172253,0.5432994685752304,0.12415160527720583,0.11941436088293406,0.1286581365893132,52452
open3dsg,relcompat3d_mlp,50,0.46701913393756295,0.43703936406384886,0.4971660495614933,0.041297492115933324,0.0381236969424909,0.044885060289472055,26636
open3dsg,relcompat3d_mlp,100,0.5989425981873112,0.568211308975217,0.6320459157341909,0.03713871730343934,0.03415393778141841,0.04005573123818208,52452
open3dsg,mlp_wrong_predicate,50,0.46777442094662636,0.4332806269470405,0.5039649624753241,0.19297191770536118,0.18390438109547783,0.20218410034702652,26636
open3dsg,mlp_wrong_predicate,100,0.5888721047331319,0.5544734533402652,0.6256578615201446,0.1833676504232441,0.17611351981343876,0.1903879185273685,52452
open3dsg,mlp_wrong_pair,50,0.38016112789526685,0.3543091574093604,0.4066448266448266,0.09310707313410423,0.0881482621714797,0.09850331292591645,26636
open3dsg,mlp_wrong_pair,100,0.4989929506545821,0.4724015292590155,0.5265630400812282,0.08903378326851216,0.08491924711570267,0.09273101868578126,52452
open3dsg,mlp_shuffled_geometry,50,0.3683282980866062,0.3417639519860737,0.39618583871290297,0.12884817540171198,0.1227166588392058,0.1349787500836397,26636
open3dsg,mlp_shuffled_geometry,100,0.47935548841893255,0.4528637867962974,0.5064524306754586,0.12384656447799894,0.11883798617582929,0.12848935637520448,52452
open3dsg,mlp_fixed_label_endpoint_swap,50,0.4551863041289023,0.422988719585642,0.4870093800231957,0.19132001802072382,0.18219247583643122,0.2002625297120648,26636
open3dsg,mlp_fixed_label_endpoint_swap,100,0.574269889224572,0.5405748735261069,0.6102634363983496,0.1815183405780523,0.17424825288970083,0.18822886220986937,52452
open3dsg,distance_only,50,0.5115810674723061,0.4763347816399287,0.5479066168092609,0.08236972518396156,0.0770956783544118,0.0874864339715653,26636
open3dsg,distance_only,100,0.6321752265861027,0.6005675119448983,0.6680801194134959,0.09553496530160908,0.0913762360794224,0.09993133577822674,52452
open3dsg,mlp_compatibility_only,50,0.4818731117824773,0.45009057861528795,0.5121984829636418,0.03423937528157381,0.03122215622215622,0.037491188490299525,26636
open3dsg,mlp_compatibility_only,100,0.6132930513595166,0.5834488836105182,0.6454690313382245,0.032791885914741095,0.02997645976564639,0.03572763668207702,52452
sgfn,source_score,50,0.7401812688821753,0.7037006685539878,0.7730803413143434,0.03846715328467153,0.03496353400550935,0.04224772628135223,27400
sgfn,source_score,100,0.9234642497482377,0.8901156787811928,0.9518074721497024,0.06297445255474453,0.05929541949742745,0.06727149725274725,54800
sgfn,relcompat3d_mlp,50,0.7457200402819738,0.7088901038421244,0.7796158641777801,0.025766423357664235,0.023356993251846193,0.028380881030866046,27400
sgfn,relcompat3d_mlp,100,0.9287512588116817,0.8948309621444864,0.9574700144934075,0.035036496350364967,0.03227170933920731,0.03780620250516285,54800
sgfn,mlp_wrong_predicate,50,0.7177744209466264,0.6813748543782974,0.7521961829775708,0.09671532846715329,0.09024222718673268,0.10390273515381548,27400
sgfn,mlp_wrong_predicate,100,0.9000503524672709,0.8676038194311365,0.9290317323229931,0.1352007299270073,0.12701287368882047,0.14316122265530576,54800
sgfn,mlp_wrong_pair,50,0.7210473313192346,0.6864113444813807,0.7514908902089525,0.039087591240875914,0.03580392838519034,0.042590133539344446,27400
sgfn,mlp_wrong_pair,100,0.8904833836858006,0.860297643525456,0.9159224779483472,0.06591240875912409,0.06224388467120688,0.0699663973673828,54800
sgfn,mlp_shuffled_geometry,50,0.7114803625377644,0.6752674434088138,0.7433551207058139,0.045912408759124085,0.04253108851277675,0.04969263765995334,27400
sgfn,mlp_shuffled_geometry,100,0.8783987915407855,0.8474977067209676,0.9054816834319265,0.08058394160583941,0.07651067755421331,0.08506584900072507,54800
sgfn,mlp_fixed_label_endpoint_swap,50,0.7185297079556898,0.6818645376576358,0.7529848542665413,0.0964963503649635,0.0900761401602061,0.10377308854629211,27400
sgfn,mlp_fixed_label_endpoint_swap,100,0.9023162134944612,0.8697482244887061,0.9311382697215365,0.13348540145985402,0.12530216809146152,0.14131957839954165,54800
sgfn,distance_only,50,0.6319234642497482,0.5959449933892221,0.6677624544537628,0.10003649635036496,0.09482884885758412,0.10516905168167745,27400
sgfn,distance_only,100,0.8406344410876133,0.8089750254526139,0.8694133747671918,0.1266058394160584,0.12104662619988707,0.13168716342910716,54800
sgfn,mlp_compatibility_only,50,0.5709969788519638,0.5419488961846716,0.6004488169710515,0.023284671532846715,0.02091694856448955,0.02581685846788045,27400
sgfn,mlp_compatibility_only,100,0.8099194360523666,0.7831453246075477,0.8368582331443981,0.0231021897810219,0.02120967671357558,0.025197073170731707,54800
