source,supervision,method,k,recall,violation
sgfn,shared constructed compatibility target,all_family_product,100,0.9413393756294058,0.03713503649635037
sgfn,shared constructed compatibility target,shared_mlp_bce_product,5,0.3119335347432024,0.024452554744525547
sgfn,shared constructed compatibility target,shared_mlp_bce_product,10,0.40584088620342396,0.032481751824817516
sgfn,shared constructed compatibility target,shared_mlp_bce_product,20,0.5113293051359517,0.02664233576642336
sgfn,shared constructed compatibility target,shared_mlp_bce_product,50,0.7754279959718026,0.024306569343065694
sgfn,shared constructed compatibility target,shared_mlp_bce_product,100,0.9420946626384693,0.03562043795620438
sgfn,shared constructed compatibility target,shared_mlp_pairwise_product,5,0.3124370594159114,0.02335766423357664
sgfn,shared constructed compatibility target,shared_mlp_pairwise_product,10,0.40508559919436055,0.031751824817518245
sgfn,shared constructed compatibility target,shared_mlp_pairwise_product,20,0.5110775427995972,0.026733576642335766
sgfn,shared constructed compatibility target,shared_mlp_pairwise_product,50,0.776183282980866,0.024854014598540145
sgfn,shared constructed compatibility target,shared_mlp_pairwise_product,100,0.9420946626384693,0.036259124087591244
sgfn,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,5,0.36706948640483383,0.008394160583941606
sgfn,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,10,0.5440584088620343,0.012043795620437956
sgfn,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,20,0.7107250755287009,0.015784671532846715
sgfn,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,50,0.8680765357502518,0.018613138686131386
sgfn,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,100,0.94662638469285,0.0279014598540146
