source,method,k,promoted,demoted
sgfn,mlp_support_order_only,5,1,1
sgfn,mlp_support_order_only,10,16,16
sgfn,mlp_support_order_only,20,128,128
sgfn,mlp_support_order_only,50,933,933
sgfn,mlp_support_order_only,100,3199,3199
sgfn,mlp_all_families,5,288,288
sgfn,mlp_all_families,10,606,606
sgfn,mlp_all_families,20,1220,1220
sgfn,mlp_all_families,50,3089,3089
sgfn,mlp_all_families,100,6940,6940
