predictor,source_violation,linear_violation,delta_violation_pp,measured_coverage,decidable_coverage
VL-SAT,16.42751431696802,14.338069825757088,-2.089444491210932,95.50506601166718,70.99171016272643
Open3DSG,45.95782073813709,4.897829371074184,-41.0599913670629,98.23478872139341,83.68351167695072
SGFN,11.560648581228563,8.133374883141165,-3.4272736980873963,95.7624589674724,79.92390331244404
