route,contexts,gt_denominator,method,k,recall,violation
official_eligible_533,533,3899,source_score,5,0.03488073865093614,0.5204502814258912
official_eligible_533,533,3899,source_score,10,0.10053859964093358,0.32889305816135084
official_eligible_533,533,3899,source_score,20,0.20261605539882022,0.2099437148217636
official_eligible_533,533,3899,source_score,50,0.411900487304437,0.13872203033488512
official_eligible_533,533,3899,source_score,100,0.5206463195691203,0.12415160527720583
official_eligible_533,533,3899,family_slot_rerank,5,0.03795845088484227,0.009380863039399626
official_eligible_533,533,3899,family_slot_rerank,10,0.11592716081046422,0.02326454033771107
official_eligible_533,533,3899,family_slot_rerank,20,0.24057450628366248,0.031332082551594746
official_eligible_533,533,3899,family_slot_rerank,50,0.4501154142087715,0.03423937528157381
official_eligible_533,533,3899,family_slot_rerank,100,0.5791228520133368,0.03239151986578205
official_eligible_533,533,3899,all_family_product,5,0.10130802769941011,0.03977485928705441
official_eligible_533,533,3899,all_family_product,10,0.20005129520389844,0.045403377110694185
official_eligible_533,533,3899,all_family_product,20,0.33418825339830727,0.04371482176360225
official_eligible_533,533,3899,all_family_product,50,0.4729417799435753,0.026918456224658358
official_eligible_533,533,3899,all_family_product,100,0.6116953064888433,0.03313505681384885
official_full_548,548,3972,source_score,5,0.03423967774420947,0.5204502814258912
official_full_548,548,3972,source_score,10,0.0986908358509567,0.32889305816135084
official_full_548,548,3972,source_score,20,0.19889224572004027,0.2099437148217636
official_full_548,548,3972,source_score,50,0.4043303121852971,0.13872203033488512
official_full_548,548,3972,source_score,100,0.5110775427995972,0.12415160527720583
official_full_548,548,3972,family_slot_rerank,5,0.03726082578046324,0.009380863039399626
official_full_548,548,3972,family_slot_rerank,10,0.11379657603222558,0.02326454033771107
official_full_548,548,3972,family_slot_rerank,20,0.23615307150050352,0.031332082551594746
official_full_548,548,3972,family_slot_rerank,50,0.4418429003021148,0.03423937528157381
official_full_548,548,3972,family_slot_rerank,100,0.5684793554884189,0.03239151986578205
official_full_548,548,3972,all_family_product,5,0.09944612286002014,0.03977485928705441
official_full_548,548,3972,all_family_product,10,0.19637462235649547,0.045403377110694185
official_full_548,548,3972,all_family_product,20,0.3280463242698892,0.04371482176360225
official_full_548,548,3972,all_family_product,50,0.46424974823766363,0.026918456224658358
official_full_548,548,3972,all_family_product,100,0.600453172205438,0.03313505681384885
recovered_full_548,548,3972,source_score,5,0.03675730110775428,0.5131386861313869
recovered_full_548,548,3972,source_score,10,0.10020140986908359,0.32554744525547447
recovered_full_548,548,3972,source_score,20,0.19914400805639476,0.20879020467836257
recovered_full_548,548,3972,source_score,50,0.4096173212487412,0.1386412202490605
recovered_full_548,548,3972,source_score,100,0.5161127895266868,0.12419865751564975
recovered_full_548,548,3972,family_slot_rerank,5,0.039778449144008056,0.01167883211678832
recovered_full_548,548,3972,family_slot_rerank,10,0.1163141993957704,0.024635036496350366
recovered_full_548,548,3972,family_slot_rerank,20,0.2366565961732125,0.03252923976608187
recovered_full_548,548,3972,family_slot_rerank,50,0.4471299093655589,0.036143246628840914
recovered_full_548,548,3972,family_slot_rerank,100,0.5735146022155085,0.033203861528018706
recovered_full_548,548,3972,all_family_product,5,0.10120845921450151,0.040145985401459854
recovered_full_548,548,3972,all_family_product,10,0.19838872104733132,0.04525547445255475
recovered_full_548,548,3972,all_family_product,20,0.3320745216515609,0.04358552631578947
recovered_full_548,548,3972,all_family_product,50,0.4685297079556898,0.029032495763024097
recovered_full_548,548,3972,all_family_product,100,0.6052366565961732,0.033958066219171884
