source,method,k,recall,recall_ci95_low,recall_ci95_high,violation_all,violation_ci95_low,violation_ci95_high,selected
vlsat,source_score,5,0.41943605236656595,0.39750163656896037,0.4430694858588597,0.00291970802919708,0.0010948905109489052,0.005474452554744526,2740
vlsat,source_score,10,0.6321752265861027,0.6052142814690191,0.6609658890141069,0.008211678832116789,0.0051094890510948905,0.011861313868613138,5480
vlsat,source_score,20,0.8074018126888217,0.7787873530409589,0.8362734099792795,0.014233576642335766,0.011313868613138687,0.017153284671532848,10960
vlsat,source_score,50,0.9272406847935549,0.9055208986536754,0.9472427449662114,0.026751824817518248,0.02408667883211679,0.029490875912408756,27400
vlsat,source_score,100,0.9634944612286002,0.9455528656717914,0.9796292523718922,0.04764598540145985,0.04436040145985402,0.051004562043795616,54800
vlsat,all_family_product,5,0.4174219536757301,0.39663850982334004,0.4404217339673033,0.0010948905109489052,0.0,0.0025547445255474453,2740
vlsat,all_family_product,10,0.6331822759315207,0.6070661742146842,0.6610688873827089,0.004927007299270073,0.002737226277372263,0.0072992700729927005,5480
vlsat,all_family_product,20,0.8094159113796576,0.781591949524963,0.837337142238239,0.01104014598540146,0.008756843065693432,0.013505930656934305,10960
vlsat,all_family_product,50,0.9292547834843907,0.9079105323992878,0.9489824131290554,0.02029197080291971,0.01802919708029197,0.02251824817518248,27400
vlsat,all_family_product,100,0.9687814702920443,0.9536810010580595,0.9826521705789211,0.032481751824817516,0.03009078467153285,0.0349639598540146,54800
vlsat,rank_average_all_families,5,0.21299093655589124,0.198934880138234,0.22831375473493096,0.012043795620437956,0.0072992700729927005,0.017153284671532848,2740
vlsat,rank_average_all_families,10,0.3512084592145015,0.3335765398113268,0.37082515352864187,0.013138686131386862,0.009124087591240875,0.01697080291970803,5480
vlsat,rank_average_all_families,20,0.5254279959718026,0.5019521759298362,0.5497804348604413,0.0177007299270073,0.014322536496350366,0.021076642335766425,10960
vlsat,rank_average_all_families,50,0.8091641490433031,0.7885532970553885,0.8289371593954942,0.019233576642335767,0.016934306569343065,0.021388686131386857,27400
vlsat,rank_average_all_families,100,0.9609768378650554,0.9482673299495854,0.9729942842332338,0.024762773722627737,0.022591240875912407,0.026916514598540144,54800
vlsat,rrf_all_families,5,0.2474823766364552,0.23219349081302784,0.2647631918332693,0.010583941605839416,0.00583941605839416,0.015337591240875904,2740
vlsat,rrf_all_families,10,0.411631419939577,0.3914221369321435,0.43373469464944947,0.01167883211678832,0.007846715328467153,0.015875912408759123,5480
vlsat,rrf_all_families,20,0.6475327291037261,0.6215128998943731,0.6741963532823962,0.01332116788321168,0.010310218978102189,0.016058394160583942,10960
vlsat,rrf_all_families,50,0.8927492447129909,0.8708362249607322,0.9145553648707427,0.01645985401459854,0.014378649635036496,0.018431569343065692,27400
vlsat,rrf_all_families,100,0.9602215508559919,0.9458450862077671,0.9739289240095259,0.02322992700729927,0.021076186131386863,0.025420164233576643,54800
vlsat,pooled_product,5,0.4171701913393756,0.3963769633344084,0.4403294186008209,0.0010948905109489052,0.0,0.0025547445255474453,2740
vlsat,pooled_product,10,0.6311681772406847,0.6047557797422553,0.6587407646328717,0.0062043795620437955,0.0036496350364963502,0.008946167883211674,5480
vlsat,pooled_product,20,0.8111782477341389,0.7834640712852224,0.8384343713672302,0.01167883211678832,0.009124087591240875,0.014324817518248175,10960
vlsat,pooled_product,50,0.9300100704934542,0.9083220428476237,0.9490918737769313,0.021897810218978103,0.019561131386861316,0.02437956204379562,27400
vlsat,pooled_product,100,0.9690332326283988,0.9541254429793111,0.9831987341292195,0.0387043795620438,0.03603740875912408,0.041624999999999995,54800
vlsat,hard_rule_filter,5,0.41968781470292044,0.39773983582617084,0.44358192435898786,0.0,0.0,0.0,2740
vlsat,hard_rule_filter,10,0.6316717019133937,0.6050458297441061,0.6606740572338187,0.0,0.0,0.0,5480
vlsat,hard_rule_filter,20,0.8074018126888217,0.7786472380358881,0.8364714456191896,0.0,0.0,0.0,10960
vlsat,hard_rule_filter,50,0.925730110775428,0.9039994850823868,0.9457935602194003,0.0,0.0,0.0,27400
vlsat,hard_rule_filter,100,0.9627391742195368,0.9458571484651016,0.9781234719060702,0.0,0.0,0.0,54781
vlsat,family_product_continuity,5,0.4174219536757301,0.3968217693620628,0.4405951880897943,0.0010948905109489052,0.0,0.0025547445255474453,2740
vlsat,family_product_continuity,10,0.6336858006042296,0.6075218225970531,0.6617112254717376,0.004927007299270073,0.002737226277372263,0.0072992700729927005,5480
vlsat,family_product_continuity,20,0.8101711983887211,0.7820498199279712,0.8381358676986767,0.01113138686131387,0.00884580291970803,0.013594890510948905,10960
vlsat,family_product_continuity,50,0.9292547834843907,0.9079105323992878,0.9489824131290554,0.020437956204379562,0.01813868613138686,0.02259215328467153,27400
vlsat,family_product_continuity,100,0.9687814702920443,0.9536810010580595,0.9826521705789211,0.03275547445255474,0.030273266423357665,0.03529288321167883,54800
vlsat,compatibility_only_all_families,5,0.015357502517623363,0.011207865678689477,0.019461136905568138,0.013868613138686132,0.008394160583941606,0.02008211678832116,2740
vlsat,compatibility_only_all_families,10,0.04028197381671702,0.033800510745668325,0.04731710828341318,0.014781021897810219,0.010579379562043797,0.019165145985401456,5480
vlsat,compatibility_only_all_families,20,0.08862034239677745,0.07853409272518523,0.09906170326833724,0.012408759124087591,0.00958029197080292,0.01541970802919708,10960
vlsat,compatibility_only_all_families,50,0.3001007049345418,0.28070616604707077,0.3205889777578078,0.014306569343065694,0.01218978102189781,0.016386861313868614,27400
vlsat,compatibility_only_all_families,100,0.6130412890231621,0.5900124059707509,0.637874374014977,0.0197992700729927,0.017681569343065695,0.021898266423357664,54800
open3dsg,source_score,5,0.03675730110775428,0.030721521783042795,0.04298686202843041,0.5131386861313869,0.4897810218978102,0.5365054744525547,2740
open3dsg,source_score,10,0.10020140986908359,0.08929925704518872,0.11142824040013843,0.32554744525547447,0.31057481751824817,0.3419799270072993,5480
open3dsg,source_score,20,0.19914400805639476,0.18084521056701078,0.2167086120947238,0.20879020467836257,0.19919175913796203,0.2188204940978313,10944
open3dsg,source_score,50,0.4096173212487412,0.3845225155279503,0.43674775019089684,0.1386412202490605,0.13281872601127764,0.14474300114198024,27142
open3dsg,source_score,100,0.5161127895266868,0.4876533321169847,0.5449793427460755,0.12419865751564975,0.12020878030447646,0.12829327784824326,53036
open3dsg,all_family_product,5,0.10120845921450151,0.08962951549392227,0.11268587844509101,0.040145985401459854,0.030656934306569343,0.05072992700729927,2740
open3dsg,all_family_product,10,0.19838872104733132,0.1797593738749289,0.21597775768017777,0.04525547445255475,0.038134124087591245,0.0531021897810219,5480
open3dsg,all_family_product,20,0.3320745216515609,0.3088881002765301,0.3554114183566798,0.04358552631578947,0.038531071883680885,0.048920994879297734,10944
open3dsg,all_family_product,50,0.4685297079556898,0.4445246189304805,0.4933065568142808,0.029032495763024097,0.026268885487330678,0.032071617222484756,27142
open3dsg,all_family_product,100,0.6052366565961732,0.5790220962349351,0.6301007030814147,0.033958066219171884,0.030590166345419886,0.03740608869233251,53036
open3dsg,rank_average_all_families,5,0.09768378650553877,0.08739286350721594,0.10773681553237492,0.022627737226277374,0.016058394160583942,0.029197080291970802,2740
open3dsg,rank_average_all_families,10,0.18051359516616314,0.16542842390242543,0.19526031319750672,0.03083941605839416,0.025,0.0364963503649635,5480
open3dsg,rank_average_all_families,20,0.29229607250755285,0.2701022528231315,0.3137383766493444,0.0360014619883041,0.03113299970214764,0.04087646305779078,10944
open3dsg,rank_average_all_families,50,0.4697885196374622,0.4444406156673558,0.49596973061567035,0.03960651388991231,0.03624367137150316,0.04290972912101801,27142
open3dsg,rank_average_all_families,100,0.5986908358509567,0.5723917512179488,0.6267815732215722,0.052681197677049554,0.049431508001851275,0.055966603880745695,53036
open3dsg,rrf_all_families,5,0.09617321248741188,0.0856286280066881,0.10644868002134225,0.020437956204379562,0.014598540145985401,0.02664233576642336,2740
open3dsg,rrf_all_families,10,0.16037260825780464,0.1460304449648712,0.17469123034977257,0.03083941605839416,0.025364963503649637,0.03613138686131387,5480
open3dsg,rrf_all_families,20,0.26107754279959716,0.23962490310519358,0.2818652192063468,0.05884502923976608,0.05345068853081389,0.06428160473306212,10944
open3dsg,rrf_all_families,50,0.4312688821752266,0.4059517242968756,0.45707068313754134,0.09472404391717633,0.0905801118696876,0.09902388085563191,27142
open3dsg,rrf_all_families,100,0.5954179254783485,0.5710709079578693,0.6209376028538971,0.07883324534278603,0.07554615191709534,0.08222262920885734,53036
open3dsg,pooled_product,5,0.09290030211480363,0.08240752810388273,0.10405380236452302,0.05218978102189781,0.041970802919708027,0.06386861313868614,2740
open3dsg,pooled_product,10,0.17648539778449143,0.1607898685851107,0.1921609319963665,0.058394160583941604,0.0501779197080292,0.06733576642335766,5480
open3dsg,pooled_product,20,0.29632426988922456,0.27651826135056845,0.31567925684370585,0.05436769005847953,0.04881247733973864,0.06012545373431753,10944
open3dsg,pooled_product,50,0.47180261832829806,0.4491925344649076,0.49467178493403,0.052759560828236685,0.048969329113521816,0.056808384457487565,27142
open3dsg,pooled_product,100,0.6442598187311178,0.6191129329339203,0.669785835356407,0.07474168489328004,0.0707612247334983,0.0784549541947758,53036
open3dsg,hard_rule_filter,5,0.07074521651560926,0.062408056401803365,0.07912243379335217,0.0,0.0,0.0,2740
open3dsg,hard_rule_filter,10,0.13141993957703926,0.11829253748193913,0.14386051729199376,0.0,0.0,0.0,5478
open3dsg,hard_rule_filter,20,0.24219536757301108,0.22304230470867029,0.26151914511404584,0.0,0.0,0.0,10940
open3dsg,hard_rule_filter,50,0.4295065458207452,0.40461799003074445,0.45758150069536674,0.0,0.0,0.0,27066
open3dsg,hard_rule_filter,100,0.5367573011077543,0.5083377330735774,0.5649559126394187,0.0,0.0,0.0,52644
open3dsg,family_product_continuity,5,0.10196374622356495,0.09039283342476828,0.11364331006018984,0.04051094890510949,0.03101277372262774,0.05072992700729927,2740
open3dsg,family_product_continuity,10,0.19687814702920442,0.1787419577199383,0.2144340873838293,0.044343065693430654,0.037399635036496355,0.05201186131386861,5480
open3dsg,family_product_continuity,20,0.3330815709969788,0.30980946884358895,0.35695409038093523,0.04303728070175439,0.03807434402858146,0.048302044352729924,10944
open3dsg,family_product_continuity,50,0.4692849949647533,0.44590173448440806,0.4941750790419836,0.028885122688084887,0.02615850758893939,0.03193980900634711,27142
open3dsg,family_product_continuity,100,0.6049848942598187,0.5792639099579363,0.6296784860496123,0.03388264575005657,0.030575250679194144,0.03726889429274581,53036
