source,method,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
vlsat,source_score,5,0.41943605236656595,0.3887887333966053,0.45329434886554576,0.00291970802919708,0.0010506507929727786,0.005167011893167258
vlsat,source_score,10,0.6321752265861027,0.589104838943864,0.674231041140661,0.008211678832116789,0.005251821349382325,0.011546147216119029
vlsat,source_score,20,0.8074018126888217,0.7607811917400175,0.8512865879985662,0.014233576642335766,0.011599724269416457,0.017178651957587162
vlsat,source_score,50,0.9272406847935549,0.8847037291675166,0.9637493769110849,0.026751824817518248,0.023639152610174012,0.03002090519837489
vlsat,source_score,100,0.9634944612286002,0.9279701585074008,0.9925995850285225,0.04764598540145985,0.04429499631594686,0.05125286453912748
vlsat,main_route,5,0.4206948640483384,0.3902954112343658,0.4540503061309177,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,main_route,10,0.6339375629405841,0.5910914051406139,0.6761507693643111,0.0056569343065693434,0.0036231884057971015,0.00788080327714474
vlsat,main_route,20,0.8081570996978852,0.7617445092351143,0.8526938831143083,0.011405109489051095,0.008812190526684529,0.013851000838874382
vlsat,main_route,50,0.9277442094662638,0.8852746892819605,0.9637450789475533,0.019744525547445255,0.017088305953283874,0.022293279304819426
vlsat,main_route,100,0.9657603222557906,0.9314033763528935,0.9931298303784362,0.02948905109489051,0.027020418495610533,0.03219223992455827
vlsat,exact_scalar_held_out,5,0.4217019133937563,0.39190686691883375,0.45511580272665647,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,exact_scalar_held_out,10,0.6336858006042296,0.5906757779636639,0.6758843031167023,0.0056569343065693434,0.0036231884057971015,0.00788080327714474
vlsat,exact_scalar_held_out,20,0.8081570996978852,0.7617445092351143,0.8526938831143083,0.011313868613138687,0.008759654650361442,0.013753078707355197
vlsat,exact_scalar_held_out,50,0.9279959718026183,0.8855042898171083,0.9639918509425235,0.019854014598540148,0.01730500406476194,0.022333348442542696
vlsat,exact_scalar_held_out,100,0.966012084592145,0.9316555524818846,0.9931298303784362,0.03,0.027541970224897055,0.03284093899521531
vlsat,primitive_family_held_out,5,0.41842900302114805,0.38786408400784345,0.45117774802028965,0.00291970802919708,0.0010506507929727786,0.005167011893167258
vlsat,primitive_family_held_out,10,0.6329305135951662,0.5908629793470279,0.6745270602928328,0.008576642335766424,0.005535697812335266,0.012058858332938894
vlsat,primitive_family_held_out,20,0.8099194360523666,0.7641849572463374,0.853794657070992,0.014598540145985401,0.01193367631192628,0.01763747939977448
vlsat,primitive_family_held_out,50,0.9274924471299094,0.885303734557053,0.9639583476529838,0.02678832116788321,0.02354765183556082,0.0300563793818379
vlsat,primitive_family_held_out,100,0.9652567975830816,0.9306339911420375,0.9924878219627093,0.046843065693430656,0.043491201377366714,0.050376577849733824
vlsat,alternative_evidence_only,5,0.4169184290030212,0.386578249684142,0.44939193428212887,0.00291970802919708,0.0010506507929727786,0.005167011893167258
vlsat,alternative_evidence_only,10,0.6316717019133937,0.5893798968471239,0.6734695220922753,0.008394160583941606,0.005523532784321901,0.01160766196013289
vlsat,alternative_evidence_only,20,0.8094159113796576,0.7624960468215253,0.8529857704120298,0.014324817518248175,0.01164478087621769,0.017178651957587162
vlsat,alternative_evidence_only,50,0.9279959718026183,0.8857017153088035,0.9645156082853744,0.02678832116788321,0.023687145980082584,0.03006881329885391
vlsat,alternative_evidence_only,100,0.9642497482376636,0.9295539899442004,0.9925995850285225,0.047116788321167884,0.0438472619047619,0.05069472234149134
open3dsg,source_score,5,0.03423967774420947,0.027556531377899044,0.04128028000315078,0.5204502814258912,0.48726423255716994,0.5535260184682238
open3dsg,source_score,10,0.0986908358509567,0.08709952861859593,0.1112370904536526,0.32889305816135084,0.30864015517298793,0.34881774737440835
open3dsg,source_score,20,0.19889224572004027,0.17940529295525967,0.22000201703272076,0.2099437148217636,0.19852719518160694,0.2209341088247338
open3dsg,source_score,50,0.4043303121852971,0.37264800183251334,0.4384332368747416,0.13872203033488512,0.131520268374617,0.14596908228143265
open3dsg,source_score,100,0.5110775427995972,0.4808416923172253,0.5432994685752304,0.12415160527720583,0.11941436088293406,0.1286581365893132
open3dsg,main_route,5,0.03726082578046324,0.02992496096433586,0.04476715757260318,0.009380863039399626,0.005466906009152216,0.013873103493151427
open3dsg,main_route,10,0.11379657603222558,0.10086123235213314,0.1273058854119399,0.02326454033771107,0.018044435412856465,0.029662397240715968
open3dsg,main_route,20,0.23615307150050352,0.2129708310036383,0.2600149136577708,0.031332082551594746,0.026589438824662814,0.036827575051759834
open3dsg,main_route,50,0.4418429003021148,0.4124415577071901,0.4720340739085452,0.03423937528157381,0.03122215622215622,0.037491188490299525
open3dsg,main_route,100,0.5684793554884189,0.5403434350981704,0.5984939432755825,0.03239151986578205,0.02962503994681964,0.0352284783709955
open3dsg,exact_scalar_held_out,5,0.03625377643504532,0.028666273000320767,0.043845417046589376,0.009380863039399626,0.005466906009152216,0.013873103493151427
open3dsg,exact_scalar_held_out,10,0.11127895266868076,0.09862370079354628,0.12445817185431401,0.02326454033771107,0.018044435412856465,0.029662397240715968
open3dsg,exact_scalar_held_out,20,0.23439073514602216,0.21212125512590546,0.2582272710735669,0.031332082551594746,0.026589438824662814,0.036827575051759834
